Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6hBOT549vs8F9UBASUT7kj,"Argentina Es Un Carnaval","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,131246,51,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.796,0.609,6,-5.322,1,0.112,0.0711,0,0.129,0.828,142.518,3
spotify:track:2nj5l9h4yshSaFvgS9Du2b,"Que Te Pasa Brazuca","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,138854,45,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.805,0.601,7,-5.461,1,0.06,0.0529,0,0.11,0.951,142.565,3
spotify:track:4Hyt8CTc90UYBw5XLuFW19,"No Tengo Un Mango Y Voy Igual","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,84632,46,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.685,0.64,4,-5.149,0,0.0331,0.057,0.00000418,0.121,0.705,142.545,4
spotify:track:3BfdVJzgXten3tbF9TxzWg,"Brasil Decime Que Se Siente","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,122385,43,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.645,0.65,6,-5.141,0,0.0583,0.0759,0.00000297,0.115,0.902,142.548,3
spotify:track:2aGrWBOwreVJVR5X8K1J60,"La Banda Loca De La Argentina","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,93446,44,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.749,0.617,9,-5.433,1,0.0693,0.0292,0,0.0981,0.884,142.312,3
spotify:track:4952bvcT0uAH7XOtCpdrxM,"Vamos Argentina","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,110460,43,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.696,0.599,4,-5.059,0,0.0492,0.0124,0,0.169,0.854,142.588,3
spotify:track:3hG8DiiMoBPRoaCUSj92Na,"Muchachos","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,104125,43,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.708,0.648,7,-5.84,1,0.0341,0.0482,0.00000134,0.581,0.806,142.553,3
spotify:track:2UUohMX8S56wt2ynOZ9u4T,"Himno Argentino (Cumbia)","Zapada Argentina","Un Poco de Ruido;Pinky SD;La Kuppe",2026-06-13,71500,42,false,12141338138,2026-07-04T20:31:18Z,"cuarteto,cumbia","Mojo Latam LLC",0.476,0.508,10,-4.469,1,0.0301,0.141,0,0.269,0.627,89.91,4
