Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5PnEBmCk56RQphcMe7EqhG,"Como Yo Le Doy - Spanglish Version","Dale","Pitbull;Don Miguelo",2015-07-17,262706,78,false,12141338138,2026-07-03T17:37:58Z,"dembow","Mr. 305 Records",0.777,0.84,7,-4.384,1,0.082,0.151,0.00000124,0.249,0.804,97.979,4
spotify:track:5RzFJd6W40SDTyZkX6xx45,"I Know You Want Me (Calle Ocho)","Pitbull Starring In Rebelution","Pitbull",2009-08-31,237120,83,false,12141338138,2026-07-03T17:38:02Z,"","Mr.305/Polo Grounds Music/J Records",0.82,0.731,9,-6.02,1,0.159,0.0133,0.0000194,0.131,0.793,127.076,4
spotify:track:3cHyrEgdyYRjgJKSOiOtcS,"Timber","Global Warming: Meltdown (Deluxe Version)","Pitbull;Kesha",2012,204134,88,false,12141338138,2026-07-03T17:38:14Z,"","Mr.305/Polo Grounds Music/RCA Records",0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,4
spotify:track:1LbGorB0xOfpiXQJFKB2Nd,"El Taxi","Dale","Pitbull;Osmani Garcia ""La Voz""",2015-07-17,249800,72,false,12141338138,2026-07-03T17:38:16Z,"","Mr. 305 Records",0.869,0.691,7,-6.872,1,0.192,0.12,0,0.102,0.875,95.019,4
spotify:track:4kLLWz7srcuLKA7Et40PQR,"I Gotta Feeling","THE E.N.D. (THE ENERGY NEVER DIES) [Deluxe Version]","Black Eyed Peas",2009-01-01,289133,87,false,12141338138,2026-07-03T17:38:18Z,"","Interscope",0.744,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.966,4
spotify:track:4Y7XAxTANhu3lmnLAzhWJW,"Fireball (feat. John Ryan)","Globalization","Pitbull;John Ryan",2014-11-24,236253,86,false,12141338138,2026-07-03T17:39:03Z,"","Mr.305/Polo Grounds Music/RCA Records",0.761,0.933,10,-5.38,1,0.056,0.0908,0.0000853,0.0607,0.836,122.959,4
spotify:track:3d0WouFnFmr0K3kjeza3fF,"Hips Don't Lie (feat. Wyclef Jean)","Oral Fixation, Vol. 2 (Expanded Edition)","Shakira;Wyclef Jean",2005-11-28,220360,93,false,12141338138,2026-07-03T17:39:19Z,"pop latino","Epic",0.778,0.824,10,-5.892,0,0.0707,0.284,0,0.358,0.758,100.024,4
spotify:track:4Xtlw8oXkIOvzV7crUBKeZ,"Rompe","Barrio Fino En Directo","Daddy Yankee",2005-01-01,188626,81,true,12141338138,2026-07-03T17:39:26Z,"reggaetón,latina","Interscope/El Cartel",0.696,0.858,9,-5.155,1,0.0859,0.0727,0.00000319,0.0631,0.533,176.061,4
